,1st week,2nd week,3rd week,4th week
302,7.35,9.8,9.45,7.35
303,7.7,9.1,8.75,7.35
304,9.45,15.05,15.4,7.35
305,16.1,20.65,20.3,8.75
306,19.25,21.0,20.65,7.35
307,20.3,21.35,20.65,7.0
308,19.25,21.0,20.3,5.95
309,19.95,20.65,21.35,5.95
310,18.9,19.25,21.35,5.6
311,20.3,18.55,20.65,5.6
312,20.3,17.5,20.65,4.2
313,18.9,14.35,20.65,3.5
314,19.25,14.0,22.05,6.3
315,19.6,14.7,19.95,10.85
316,18.2,13.3,18.2,10.5
317,18.2,12.95,17.15,9.45
318,19.25,10.5,15.4,0.0
319,18.2,11.55,16.8,0.0
320,16.45,8.75,17.15,0.0
321,16.8,7.0,16.8,0.0
322,17.15,6.65,16.8,0.0
323,17.5,12.25,17.5,0.0
324,15.4,13.3,16.8,0.0
325,16.1,13.3,13.65,0.0
326,14.0,8.4,4.55,0.0
327,11.9,1.4,7.7,0.0
328,14.7,0.35,12.6,0.0
329,15.75,0.7,19.95,0.0
330,16.45,1.05,23.1,0.0
331,12.6,0.0,23.8,0.0
332,4.9,0.0,24.15,0.0
333,5.6,0.0,22.75,0.0
334,7.0,0.0,23.1,0.0
335,2.1,0.0,20.65,0.0
336,1.75,0.0,21.35,0.0
337,0.0,6.65,19.95,0.0
338,0.0,10.85,18.2,0.0
339,3.5,7.0,14.7,0.0
340,7.7,2.1,9.45,0.0
341,2.45,1.05,6.3,0.0
342,0.0,0.7,15.05,0.0
343,0.0,3.85,18.2,0.0
344,0.0,4.2,16.1,0.0
345,0.0,4.55,12.6,0.0
346,3.5,7.0,15.4,0.0
347,5.25,10.5,16.1,0.0
348,8.75,0.7,2.1,0.0
349,6.65,2.8,0.7,0.0
350,13.3,12.6,0.35,0.0
351,1.4,9.45,1.75,0.0
352,0.35,7.35,6.65,0.0
353,0.0,11.2,3.85,0.0
354,0.0,8.4,6.65,0.0
355,0.0,16.1,10.15,0.0
356,0.0,17.85,12.95,0.0
357,3.5,18.2,16.8,0.0
358,9.8,22.75,17.85,0.0
359,14.7,28.0,23.8,0.0
360,18.2,27.3,23.1,0.0
361,19.95,25.55,24.15,1.05
362,22.05,24.85,24.85,3.15
363,19.95,20.65,20.3,5.6
364,17.85,20.65,21.7,6.3
365,17.85,20.65,15.75,7.7
366,10.85,10.5,12.95,7.7
367,7.7,10.85,10.85,8.4
368,8.4,11.2,12.95,8.05
369,9.1,13.3,12.6,7.7
370,10.15,13.3,11.9,7.0
371,9.45,12.6,12.6,7.35
372,8.05,11.55,11.9,7.0
373,8.4,10.85,10.85,7.35
374,8.05,11.2,10.15,7.7
